,ID_MSTR,FIELD,ID_DETAILS,CONFIG_MSTR_ID,SUBFIELD,COUNT_FROM,COUNT_TO,COMPLEXITY,EFFORTS
0,1,Tables,1,1,,1.0,5.0,1,3
1,1,Tables,2,1,,6.0,10.0,2,8
2,1,Tables,3,1,,10.0,10000000.0,3,20
3,2,BAPI + Function Modules,1,2,,1.0,5.0,1,16
4,2,BAPI + Function Modules,2,2,,6.0,10.0,2,24
5,2,BAPI + Function Modules,3,2,,11.0,10000000.0,3,40
6,3,CRUD,1,3,Read,,,1,4
7,3,CRUD,2,3,Create,,,2,8
8,3,CRUD,3,3,Update,,,2,12
9,3,CRUD,4,3,Delete,,,1,4
10,4,Screens,1,4,,1.0,2.0,1,24
11,4,Screens,2,4,,3.0,4.0,2,36
12,4,Screens,3,4,,5.0,10000000.0,3,48
13,5,Forms,1,5,,1.0,5.0,1,40
14,5,Forms,2,5,,6.0,10.0,2,72
15,5,Forms,3,5,,11.0,10000000.0,3,100
16,6,BDC,1,6,,1.0,2.0,1,8
17,6,BDC,2,6,,3.0,5.0,2,16
18,6,BDC,3,6,,6.0,10000000.0,3,24
19,7,Code Size,1,7,,1.0,1000.0,1,40
20,7,Code Size,2,7,,1001.0,5000.0,2,80
21,7,Code Size,3,7,,5001.0,10000000.0,3,100
22,8,Logic Validation,1,8,Yes,,,1,16
23,9,UI5 Integration,1,9,,,,2,48
24,10,3rd Party Integration,1,10,,,,2,48
25,11,Workflows,1,11,,,,2,48
