itemcode,item,in blocks,metrics,price per unit,currency,fees,volume from,volume to
*,Cloud - Applications,,,,,,,
**,Cloud - Business Transformation Management,,,,,,,
8011437,SAP Signavio Process Manager,1,User,829,USD,Month,1,19
8011437,SAP Signavio Process Manager,1,User,532,USD,Month,20,49
8011437,SAP Signavio Process Manager,1,User,425,USD,Month,50,99
8011437,SAP Signavio Process Manager,1,User,338,USD,Month,100,199
8011437,SAP Signavio Process Manager,1,User,265,USD,Month,200,499
8011437,SAP Signavio Process Manager,1,User,213,USD,Month,500,Infinite
8011438,SAP Signavio Journey Modeler,1,User,684,USD,Month,1,19
8011438,SAP Signavio Journey Modeler,1,User,435,USD,Month,20,49
8011438,SAP Signavio Journey Modeler,1,User,343,USD,Month,50,99
8011438,SAP Signavio Journey Modeler,1,User,296,USD,Month,100,199
8011438,SAP Signavio Journey Modeler,1,User,245,USD,Month,200,Infinite
8011439,SAP Signavio Process Governance,1,User,85,USD,Month,1,19
8011439,SAP Signavio Process Governance,1,User,53,USD,Month,20,49
8011439,SAP Signavio Process Governance,1,User,40,USD,Month,50,99
8011439,SAP Signavio Process Governance,1,User,35,USD,Month,100,199
8011439,SAP Signavio Process Governance,1,User,28,USD,Month,200,Infinite
8011440,SAP Signavio Process Collaboration Hub,10,User,77,USD,Month,1,99
8011440,SAP Signavio Process Collaboration Hub,10,User,39,USD,Month,100,299
8011440,SAP Signavio Process Collaboration Hub,10,User,19,USD,Month,300,999
8011440,SAP Signavio Process Collaboration Hub,10,User,12,USD,Month,1000,4999
8011440,SAP Signavio Process Collaboration Hub,10,User,8.87,USD,Month,5000,9999
8011440,SAP Signavio Process Collaboration Hub,10,User,7.76,USD,Month,10000,19999
8011440,SAP Signavio Process Collaboration Hub,10,User,6.1,USD,Month,20000,Infinite
8011441,SAP Signavio Process Governance Collaborator,10,User,157,USD,Month,1,99
8011441,SAP Signavio Process Governance Collaborator,10,User,116,USD,Month,100,499
8011441,SAP Signavio Process Governance Collaborator,10,User,88,USD,Month,500,999
8011441,SAP Signavio Process Governance Collaborator,10,User,55,USD,Month,1000,4999
8011441,SAP Signavio Process Governance Collaborator,10,User,45,USD,Month,5000,9999
8011441,SAP Signavio Process Governance Collaborator,10,User,35,USD,Month,10000,19999
8011441,SAP Signavio Process Governance Collaborator,10,User,27,USD,Month,20000,Infinite
8011444,"SAP Signavio Process Insights, additional storage",50,Gigabyte,"2,720.00",USD,Month,1,Infinite
8013422,"SAP Signavio Process Transformation Suite, private cloud edition",1,Tenant,"1,38,588.00",USD,Month,1,Infinite
8014823,SAP Signavio Process Intelligence,"2,00,000",Record,"3,276.00",USD,Month,1,9
8014823,SAP Signavio Process Intelligence,"2,00,000",Record,"2,567.00",USD,Month,10,19
8014823,SAP Signavio Process Intelligence,"2,00,000",Record,"1,865.00",USD,Month,20,49
8014823,SAP Signavio Process Intelligence,"2,00,000",Record,"1,162.00",USD,Month,50,99
8014823,SAP Signavio Process Intelligence,"2,00,000",Record,722,USD,Month,100,249
8014823,SAP Signavio Process Intelligence,"2,00,000",Record,493,USD,Month,250,499
8014823,SAP Signavio Process Intelligence,"2,00,000",Record,389,USD,Month,500,999
8014823,SAP Signavio Process Intelligence,"2,00,000",Record,335,USD,Month,1000,1499
8014823,SAP Signavio Process Intelligence,"2,00,000",Record,308,USD,Month,1500,Infinite
8015166,"SAP Signavio Journey-to-Process Analytics, base package","50,000",Record,"5,602.00",USD,Month,1,Infinite
8015208,"SAP Signavio Journey-to-Process Analytics, additional records","50,000",Record,"2,784.00",USD,Month,1,4
8015208,"SAP Signavio Journey-to-Process Analytics, additional records","50,000",Record,"2,042.00",USD,Month,5,9
8015208,"SAP Signavio Journey-to-Process Analytics, additional records","50,000",Record,"1,618.00",USD,Month,10,19
8015208,"SAP Signavio Journey-to-Process Analytics, additional records","50,000",Record,"1,294.00",USD,Month,20,49
8015208,"SAP Signavio Journey-to-Process Analytics, additional records","50,000",Record,"1,053.00",USD,Month,50,Infinite
8015441,"SAP Signavio Process Insights, base package",1,Flat Fee,"8,653.00",USD,Month,1,Infinite
8015451,"SAP Signavio Process Insights, additional connections",1,Connection,"4,377.00",USD,Month,1,Infinite
8018114,SAP LeanIX Technology Risk and Compliance,100,Application,"2,304.00",USD,Month,1,2
8018114,SAP LeanIX Technology Risk and Compliance,100,Application,"1,275.00",USD,Month,3,5
8018114,SAP LeanIX Technology Risk and Compliance,100,Application,935,USD,Month,6,9
8018114,SAP LeanIX Technology Risk and Compliance,100,Application,748,USD,Month,10,13
8018114,SAP LeanIX Technology Risk and Compliance,100,Application,641,USD,Month,14,28
8018114,SAP LeanIX Technology Risk and Compliance,100,Application,514,USD,Month,29,44
8018114,SAP LeanIX Technology Risk and Compliance,100,Application,445,USD,Month,45,60
8018114,SAP LeanIX Technology Risk and Compliance,100,Application,402,USD,Month,61,80
8018114,SAP LeanIX Technology Risk and Compliance,100,Application,366,USD,Month,81,110
8018114,SAP LeanIX Technology Risk and Compliance,100,Application,330,USD,Month,111,Infinite
8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,"1,383.00",USD,Month,1,2
8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,765,USD,Month,3,5
8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,561,USD,Month,6,9
8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,449,USD,Month,10,13
8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,385,USD,Month,14,28
8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,308,USD,Month,29,44
8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,267,USD,Month,45,60
8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,242,USD,Month,61,80
8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,220,USD,Month,81,110
8018115,SAP LeanIX Architecture and Road Map Planning,100,Application,198,USD,Month,111,Infinite
8018161,SAP LeanIX Application Portfolio Management,100,Application,"4,608.00",USD,Month,1,2
8018161,SAP LeanIX Application Portfolio Management,100,Application,"2,549.00",USD,Month,3,5
8018161,SAP LeanIX Application Portfolio Management,100,Application,"1,869.00",USD,Month,6,9
8018161,SAP LeanIX Application Portfolio Management,100,Application,"1,498.00",USD,Month,10,13
8018161,SAP LeanIX Application Portfolio Management,100,Application,"1,282.00",USD,Month,14,28
8018161,SAP LeanIX Application Portfolio Management,100,Application,"1,029.00",USD,Month,29,44
8018161,SAP LeanIX Application Portfolio Management,100,Application,889,USD,Month,45,60
8018161,SAP LeanIX Application Portfolio Management,100,Application,805,USD,Month,61,80
8018161,SAP LeanIX Application Portfolio Management,100,Application,731,USD,Month,81,110
8018161,SAP LeanIX Application Portfolio Management,100,Application,660,USD,Month,111,Infinite
8018191,"SAP LeanIX solutions, sandbox environment",100,Application,"1,236.00",USD,Month,1,2
8018191,"SAP LeanIX solutions, sandbox environment",100,Application,684,USD,Month,3,5
8018191,"SAP LeanIX solutions, sandbox environment",100,Application,401,USD,Month,6,9
8018191,"SAP LeanIX solutions, sandbox environment",100,Application,282,USD,Month,10,13
8018191,"SAP LeanIX solutions, sandbox environment",100,Application,206,USD,Month,14,28
8018191,"SAP LeanIX solutions, sandbox environment",100,Application,137,USD,Month,29,44
8018191,"SAP LeanIX solutions, sandbox environment",100,Application,120,USD,Month,45,60
8018191,"SAP LeanIX solutions, sandbox environment",100,Application,108,USD,Month,61,80
8018191,"SAP LeanIX solutions, sandbox environment",100,Application,98,USD,Month,81,110
8018191,"SAP LeanIX solutions, sandbox environment",100,Application,89,USD,Month,111,Infinite
8018281,SAP Signavio Process Transformation Manager,1,User,243,USD,Month,1,19
8018281,SAP Signavio Process Transformation Manager,1,User,195,USD,Month,20,49
8018281,SAP Signavio Process Transformation Manager,1,User,171,USD,Month,50,99
8018281,SAP Signavio Process Transformation Manager,1,User,146,USD,Month,100,Infinite
**,Cloud - ERP,,,,,,,
8008794,"SAP Additional File Storage, private cloud edition",128,Gigabyte,188,USD,Month,1,Infinite
8008860,"SAP Fiori Hub on ASE Cloud, private edition (XXS)",1,Tenant,"13,644.00",USD,Month,1,Infinite
8008861,"SAP Fiori Hub on ASE Cloud, private edition (XS)",1,Tenant,"19,424.00",USD,Month,1,Infinite
8008862,"SAP Fiori Hub on ASE Cloud, private edition (S)",1,Tenant,"18,398.00",USD,Month,1,Infinite
8008863,"SAP Fiori Hub on ASE Cloud, private edition (M)",1,Tenant,"20,005.00",USD,Month,1,Infinite
8008864,"SAP Fiori Hub on ASE Cloud, private edition (L)",1,Tenant,"23,993.00",USD,Month,1,Infinite
8009314,"SAP IaaS server Windows Cloud, private edition (32GB)",1,Tenant,"1,459.00",USD,Month,1,Infinite
8009318,"SAP IaaS server Linux Cloud, private edition (64GB)",1,Tenant,"2,042.00",USD,Month,1,Infinite
8009319,"SAP IaaS server Linux Cloud, private edition (128GB)",1,Tenant,"3,203.00",USD,Month,1,Infinite
8009320,"SAP IaaS server Windows Cloud, private edition (64GB)",1,Tenant,"1,879.00",USD,Month,1,Infinite
8009321,"SAP IaaS server Windows Cloud, private edition (128GB)",1,Tenant,"2,947.00",USD,Month,1,Infinite
8009322,"SAP IaaS server Linux Cloud, private edition (32GB)",1,Tenant,"1,459.00",USD,Month,1,Infinite
8009323,"SAP content server Cloud, private edition (S)",1,Tenant,"16,438.00",USD,Month,1,Infinite
8009324,"SAP content server Cloud, private edition (M)",1,Tenant,"26,689.00",USD,Month,1,Infinite
8009325,"SAP content server Cloud, private edition (L)",1,Tenant,"37,685.00",USD,Month,1,Infinite
8011322,"SAP NetWeaver ABAP Server Cloud on HANA, private edition (S)",1,Tenant,"72,291.00",USD,Month,1,Infinite
8011323,"SAP NetWeaver ABAP Server Cloud on HANA, private edition (M)",1,Tenant,"92,216.00",USD,Month,1,Infinite
8011324,"SAP NetWeaver ABAP Server Cloud on HANA, private edition (L)",1,Tenant,"1,28,578.00",USD,Month,1,Infinite
8011325,"SAP NetWeaver ABAP Server Cloud on HANA, private edition (XL)",1,Tenant,"1,93,225.00",USD,Month,1,Infinite
8011326,"SAP NetWeaver ABAP Server Cloud on HANA, private edition (XXL)",1,Tenant,"2,52,809.00",USD,Month,1,Infinite
8011327,"SAP NetWeaver ABAP Server Cloud on HANA, private edition (4XL)",1,Tenant,"5,37,929.00",USD,Month,1,Infinite
8011726,"SAP Cloud, memory extension for productive tiers, private edition",256,Gigabyte,"4,560.00",USD,Month,1,Infinite
8011727,"SAP Cloud, memory extension for non-productive tiers, private edition",256,Gigabyte,"2,385.00",USD,Month,1,Infinite
8012156,"SAP content server Cloud, private edition (XL)",1,Tenant,"61,939.00",USD,Month,1,Infinite
8012625,"SAP Fiori Hub for HANA, private cloud edition (XXS)",1,Tenant,"17,333.00",USD,Month,1,Infinite
8012626,"SAP Fiori Hub for HANA, private cloud edition (XS)",1,Tenant,"26,111.00",USD,Month,1,Infinite
8012627,"SAP Fiori Hub for HANA, private cloud edition (S)",1,Tenant,"24,548.00",USD,Month,1,Infinite
8012628,"SAP Fiori Hub for HANA, private cloud edition (M)",1,Tenant,"26,155.00",USD,Month,1,Infinite
8012629,"SAP Fiori Hub for HANA, private cloud edition (L)",1,Tenant,"30,143.00",USD,Month,1,Infinite
8012630,"SAP Fiori Hub for HANA, private cloud edition (XL)",1,Tenant,"37,247.00",USD,Month,1,Infinite
